id,name,role,created_at,updated_at,deleted_at
9330,Cut Indah Latupono,super_admin,1998-06-23 20:27:54,2004-09-10 01:24:06,2024-05-03 07:20:13
8804,"Puti Rahmi Wahyudin, S.T.",admin,1990-09-30 05:50:17,1977-07-05 17:04:06,2024-05-16 05:48:22
1188,Satya Hariyah,admin,1982-09-04 20:59:22,1973-05-16 11:54:46,2024-01-26 13:38:02
6272,"Ikin Astuti, S.Gz",admin,2007-01-01 08:18:38,1991-04-28 08:31:46,2024-01-17 18:27:40
8827,"drg. Pranawa Wacana, S.Gz",admin,1974-07-07 19:43:49,1987-08-22 16:15:38,2024-02-04 23:07:14
1219,"dr. Puji Nababan, S.Psi",admin,1973-04-17 15:16:21,1973-01-20 20:11:37,2024-02-17 19:49:22
3620,Dadi Hidayanto,super_admin,1970-11-11 07:04:41,2005-05-03 14:03:38,2024-02-08 13:26:22
7748,Drs. Saiful Siregar,super_admin,1998-03-26 06:41:59,2015-11-17 10:00:39,2024-03-19 09:11:41
4825,Jati Suryatmi,admin,2009-06-10 10:46:04,1986-04-07 21:46:43,2024-05-23 22:27:17
6573,"Tiara Habibi, S.H.",admin,1984-05-22 03:26:46,2015-06-25 05:31:16,2024-04-18 12:53:12
7042,Cut Rahayu Yuniar,super_admin,1971-03-04 23:17:16,1992-04-05 20:25:45,2024-05-06 22:32:15
1223,Oni Pradipta,super_admin,1982-08-01 21:51:42,2013-06-29 17:31:18,2024-05-22 17:23:51
47,Hj. Ayu Anggriawan,super_admin,2022-10-16 20:20:15,2018-03-31 15:54:02,2024-01-13 07:33:48
9611,Cut Zulaikha Pratama,admin,2006-04-06 23:47:34,2004-08-09 03:45:32,2024-01-02 04:37:33
6015,Kasusra Uyainah,super_admin,1990-02-22 19:13:35,2011-03-25 02:21:45,2024-04-24 10:21:12
428,Talia Maheswara,super_admin,1990-07-09 20:14:16,1975-04-12 20:51:18,2024-05-10 20:02:02
9850,Ega Usada,admin,1981-11-27 04:05:15,2019-01-26 03:09:11,2024-05-09 02:47:29
900,Ir. Adhiarja Usamah,admin,2014-01-13 14:36:35,1972-03-19 20:53:53,2024-03-18 20:47:04
9570,"Tgk. Mila Nashiruddin, S.Gz",admin,1986-01-18 05:19:35,2003-02-22 22:42:54,2024-03-03 04:29:58
3434,Zahra Hardiansyah,super_admin,1980-02-02 10:54:13,2008-11-20 04:37:39,2024-05-12 01:08:26
95,"Dr. Luhung Sirait, S.Farm",super_admin,1990-11-25 15:41:11,2020-02-02 03:21:40,2024-03-19 05:18:12
5096,Emil Yuniar,admin,1978-09-20 08:15:51,1972-04-15 07:26:15,2024-05-26 11:23:29
4941,Iriana Pratama,admin,1997-03-03 00:20:15,1992-06-26 21:35:49,2024-02-25 15:14:05
2922,Uli Mustofa,admin,1987-10-08 23:34:37,2014-11-03 19:32:39,2024-03-24 01:49:10
2911,"Hj. Amalia Hutasoit, S.Psi",admin,2001-03-09 10:27:50,2014-05-06 05:00:03,2024-03-26 06:17:03
311,"Drs. Endah Wahyudin, S.Pt",admin,1982-05-17 19:26:18,1999-08-19 11:40:20,2024-04-12 03:22:39
7608,"Jumadi Rahimah, M.M.",super_admin,2021-11-29 20:29:43,2005-06-18 00:46:03,2024-01-16 18:04:08
5342,Halima Pranowo,super_admin,1997-01-25 09:59:19,1984-09-11 17:41:41,2024-02-17 11:18:11
6318,Putri Kurniawan,super_admin,1983-02-21 22:42:21,1998-08-20 01:37:39,2024-02-14 08:31:07
6445,"Septi Saefullah, M.TI.",admin,2015-10-17 08:31:51,1984-03-15 05:57:37,2024-04-30 07:34:33
6530,Genta Fujiati,admin,2022-12-27 22:53:36,2002-11-14 21:22:01,2024-04-05 18:39:56
8204,Siska Saptono,admin,1984-06-05 15:46:06,2019-03-19 17:09:37,2024-01-03 11:58:10
5276,R.M. Jono Dabukke,super_admin,2003-07-21 05:32:34,1997-10-15 02:02:46,2024-02-18 10:58:17
2947,Kunthara Manullang,super_admin,1987-09-29 14:24:39,2011-07-27 17:21:29,2024-03-30 19:05:40
615,Slamet Puspita,super_admin,1997-10-13 18:24:36,1999-06-30 00:39:50,2024-02-10 04:26:36
4751,R.M. Cahyono Kusumo,super_admin,1980-12-10 15:39:48,1976-02-05 07:27:13,2024-06-02 20:37:47
5837,Bahuwarna Safitri,admin,1986-08-19 23:49:39,2004-10-06 23:50:16,2024-02-06 14:33:36
3467,Bahuwirya Pertiwi,super_admin,2006-05-20 06:43:00,2003-12-21 16:07:45,2024-04-14 22:53:35
6367,"Tgk. Endah Yulianti, M.M.",super_admin,1990-09-24 14:36:26,1981-08-08 06:40:42,2024-02-26 07:06:01
2488,Lulut Narpati,admin,2001-12-03 03:25:55,1993-11-17 08:10:18,2024-01-28 16:19:09
1245,Soleh Siregar,super_admin,2017-10-12 07:11:42,1979-02-12 22:22:13,2024-05-22 23:46:38
5808,Puspa Haryanto,admin,1977-10-13 23:54:16,1989-09-28 05:06:14,2024-02-02 14:00:31
8939,Galur Wahyudin,admin,1978-03-21 15:37:03,2013-05-25 23:58:56,2024-01-13 22:02:01
1552,Keisha Anggraini,admin,1974-07-23 19:16:49,2016-11-20 02:06:34,2024-05-01 23:39:21
1661,"Sari Prasetyo, S.Ked",admin,1981-11-30 15:10:19,1979-10-22 03:15:31,2024-02-09 23:24:43
3341,Jabal Pudjiastuti,admin,2002-04-16 11:05:22,2000-02-15 15:43:20,2024-03-15 11:15:33
4220,Paramita Usada,admin,2021-11-21 17:07:00,2010-08-18 15:09:31,2024-05-31 19:42:27
5689,Ir. Melinda Yolanda,super_admin,2015-03-23 04:35:14,2002-12-03 00:16:41,2024-02-04 19:10:27
7609,drg. Salimah Winarno,admin,2016-05-01 17:51:16,2010-11-08 05:18:31,2024-01-28 16:51:56
6978,Wirda Mayasari,super_admin,2019-09-18 15:18:59,1999-12-27 11:12:45,2024-04-28 08:28:19
4881,"Drs. Najwa Utami, S.I.Kom",super_admin,1999-03-24 17:10:17,2014-05-14 11:26:36,2024-01-19 12:28:54
5124,Aurora Mayasari,admin,1985-11-19 12:42:06,2010-05-07 20:03:41,2024-02-13 02:01:50
1301,Yuni Waluyo,super_admin,2003-10-07 13:07:10,1977-06-12 07:46:09,2024-05-21 01:08:02
3988,Samiah Mulyani,admin,1984-06-08 11:24:27,1975-07-20 22:51:30,2024-05-26 08:47:51
4776,"drg. Ifa Zulkarnain, S.Ked",admin,1985-01-09 02:12:13,1987-10-05 06:36:15,2024-03-24 11:23:23
3177,T. Kenzie Namaga,admin,1988-04-04 09:58:04,1995-10-07 20:55:49,2024-01-22 08:18:38
2986,Koko Wulandari,admin,1977-08-07 22:18:23,2002-10-18 03:18:54,2024-01-09 17:14:51
1323,Yahya Halim,admin,1980-10-20 01:35:17,1993-01-13 02:05:43,2024-03-13 19:04:29
359,"R. Gaman Sitompul, M.TI.",admin,2015-08-29 10:38:07,2007-01-04 13:24:26,2024-05-11 04:15:20
5852,Dina Pradipta,admin,1980-07-04 17:53:49,1976-08-05 03:59:47,2024-05-22 21:51:29
3126,Amalia Hakim,super_admin,1983-01-11 18:06:02,1988-10-20 05:57:19,2024-04-24 18:20:50
5421,Drs. Pranata Sirait,super_admin,2020-11-08 11:29:20,2014-11-14 21:56:19,2024-01-06 23:47:54
2643,Ami Tampubolon,super_admin,1992-05-20 11:06:42,2010-12-13 20:26:02,2024-05-25 19:36:38
3374,Hani Napitupulu,super_admin,2011-09-07 12:45:22,1973-05-16 16:39:02,2024-05-08 16:12:26
5424,Yunita Suryono,super_admin,1992-11-11 04:22:57,1975-05-17 23:04:45,2024-02-22 03:19:44
8415,Dagel Gunarto,super_admin,1994-07-13 01:29:20,1980-04-27 07:32:35,2024-03-17 19:49:11
2956,Lalita Latupono,admin,2012-01-13 02:22:16,2020-06-03 02:41:47,2024-01-14 17:47:00
5521,Galak Wijayanti,super_admin,1989-03-21 18:27:52,1982-01-26 12:35:16,2024-05-22 16:16:36
8054,"R. Puspa Nababan, S.IP",super_admin,1981-03-18 16:16:23,2008-08-17 11:09:54,2024-01-26 07:18:10
2258,Radit Hastuti,admin,1971-03-21 04:22:47,1983-12-30 07:15:35,2024-03-03 10:52:24
7104,Kuncara Wacana,admin,2001-08-02 09:11:04,2013-11-13 12:41:45,2024-03-26 05:08:04
4925,"Eva Rahimah, S.Kom",super_admin,2010-08-14 07:46:37,2007-01-01 10:09:53,2024-04-28 05:30:35
2996,Jarwi Najmudin,admin,1983-01-25 09:51:52,1989-12-10 01:42:18,2024-01-11 14:05:37
4459,Ghaliyati Wijayanti,admin,1976-09-12 15:53:26,2002-07-12 19:45:39,2024-05-24 00:26:12
6950,Kani Wijaya,super_admin,2005-09-20 23:06:31,2003-02-19 03:31:22,2024-04-22 00:26:57
579,"Galang Padmasari, M.Ak",super_admin,1996-10-13 04:58:23,1995-09-12 02:56:58,2024-03-24 11:56:20
4771,Cakrabirawa Pudjiastuti,super_admin,2015-04-05 04:51:49,2021-08-20 15:00:48,2024-04-21 02:21:26
334,"T. Oman Wibowo, S.Gz",super_admin,1972-06-02 21:35:52,2002-10-15 15:45:47,2024-03-27 04:27:42
8759,Dt. Vinsen Wibisono,super_admin,2015-06-27 11:22:28,1975-04-14 03:42:22,2024-02-03 07:35:54
3414,R.M. Oman Permata,super_admin,2002-10-17 01:13:36,1971-03-06 01:11:05,2024-01-16 05:40:40
9508,Ciaobella Anggraini,admin,1996-12-15 07:48:12,1982-09-25 02:32:24,2024-02-24 06:11:10
4799,Drajat Susanti,admin,2015-05-15 14:35:50,2004-12-31 16:15:32,2024-05-19 17:27:33
2002,Tgk. Agnes Zulaika,super_admin,1990-08-12 05:10:36,2024-05-26 22:23:45,2024-03-21 08:31:44
8059,Ibrani Handayani,super_admin,1999-03-18 05:44:46,2004-01-01 14:59:55,2024-01-20 21:42:23
2528,Lanjar Yulianti,admin,2022-04-09 15:55:37,2018-03-16 04:24:39,2024-03-20 08:42:59
3197,Dr. Humaira Laksita,admin,2015-08-19 07:19:40,1980-09-15 04:08:51,2024-04-01 03:57:11
7326,Icha Simbolon,admin,2009-07-26 17:59:26,2018-06-11 05:05:34,2024-02-07 14:52:12
9184,"T. Jayadi Rahmawati, M.Kom.",super_admin,2013-04-11 18:40:09,2007-04-01 23:11:14,2024-05-22 11:04:52
27,Adika Handayani,admin,2011-01-05 01:57:25,2023-04-12 12:40:10,2024-01-13 22:47:58
3153,Violet Prabowo,admin,2020-09-23 17:31:56,1972-02-25 12:58:49,2024-01-15 17:52:33
8381,"KH. Pranawa Suartini, S.E.I",admin,2019-02-20 19:36:54,1980-11-19 02:24:24,2024-02-20 15:38:29
1434,Tgk. Alambana Sihotang,super_admin,1998-02-14 00:35:17,1975-01-20 23:25:41,2024-02-29 15:14:05
3168,"Dt. Mulyono Sirait, S.Pt",super_admin,2017-01-15 01:29:34,2011-12-29 05:19:29,2024-04-23 18:05:18
727,Kajen Natsir,super_admin,2023-12-25 15:08:32,2006-12-11 08:33:19,2024-05-12 21:01:41
820,Anita Saefullah,admin,2002-11-22 16:44:50,2007-03-15 00:21:17,2024-03-03 12:56:59
1678,dr. Wira Gunarto,super_admin,2020-06-07 16:53:52,2004-04-27 11:22:57,2024-03-28 21:46:28
3960,"KH. Karma Kusmawati, S.Kom",super_admin,1988-09-23 09:42:56,1970-04-04 01:49:46,2024-04-14 17:27:51
8938,"Dt. Taufik Utama, M.Kom.",super_admin,1984-08-19 19:59:19,1985-09-10 12:40:09,2024-05-24 10:52:30
9584,Tgk. Najib Hidayat,super_admin,2004-10-22 17:57:43,1978-06-17 19:16:41,2024-02-27 01:45:36
1648,"Yani Nashiruddin, S.T.",super_admin,1983-03-27 07:35:58,2011-10-27 13:40:33,2024-04-22 18:48:07
7787,Kemal Usamah,super_admin,1993-12-04 15:17:01,2021-09-21 17:01:04,2024-04-24 12:31:39
7869,Danu Hasanah,admin,1983-08-01 22:24:03,1992-01-02 16:20:55,2024-03-01 11:53:47
3053,"Puti Lala Wacana, S.Pt",admin,1970-11-18 13:38:14,1988-11-12 08:06:16,2024-01-25 12:44:08
1134,"dr. Dono Irawan, S.Kom",super_admin,1970-11-25 19:26:37,1975-05-25 17:50:34,2024-03-27 06:01:34
2621,Shania Tamba,admin,2017-07-02 04:22:00,1985-12-11 17:50:17,2024-01-08 23:48:58
5262,"Kezia Waskita, S.Pd",admin,1986-01-21 20:34:05,1994-03-30 22:09:16,2024-03-05 10:57:13
4439,Drs. Safina Zulaika,admin,1974-01-14 03:54:21,1974-12-11 01:12:51,2024-02-08 11:55:38
8524,Halima Ardianto,super_admin,2008-01-10 00:58:12,2003-01-18 06:28:33,2024-02-18 03:09:11
4752,Hasim Dabukke,super_admin,1980-08-07 14:28:03,2024-01-27 08:13:40,2024-06-01 19:31:06
5935,Paramita Adriansyah,admin,1982-06-23 22:57:57,2007-10-27 04:55:24,2024-03-26 23:30:48
553,Omar Lailasari,admin,1971-10-10 16:24:55,2013-06-23 04:28:27,2024-02-24 02:32:55
6835,Pandu Ardianto,super_admin,2004-12-16 14:13:16,1989-10-29 15:52:52,2024-02-10 16:12:08
1620,"Tgk. Uchita Prayoga, S.T.",admin,2007-12-09 15:56:20,1986-11-29 15:05:35,2024-04-15 04:48:43
602,Eka Mustofa,admin,2014-12-12 02:30:37,2014-02-23 00:04:55,2024-01-04 17:52:59
6367,Pranata Nainggolan,super_admin,1977-07-03 13:37:27,1987-12-31 17:16:23,2024-04-14 05:02:33
8242,Ivan Maheswara,admin,2018-03-04 14:40:38,1986-06-26 14:05:52,2024-03-31 20:16:04
4844,Jayeng Uwais,admin,1991-09-21 05:37:55,2010-06-21 05:56:42,2024-01-08 19:20:58
1719,Nadine Suryatmi,admin,1984-10-30 12:29:50,1972-09-16 01:04:36,2024-03-30 22:12:48
1124,"dr. Kemba Permadi, S.Ked",admin,1981-07-14 04:37:07,1996-04-28 05:05:43,2024-05-21 11:04:09
6129,Adikara Hardiansyah,admin,2008-03-29 00:13:59,1992-10-23 14:00:33,2024-04-26 07:15:11
720,"Puspa Namaga, M.TI.",super_admin,2008-12-22 22:34:43,2002-03-23 13:36:37,2024-01-21 04:54:27
3990,Kamaria Pratama,admin,2000-10-07 22:02:04,2004-06-11 04:41:01,2024-05-16 19:44:58
7539,"Atma Suwarno, S.Pt",admin,1971-10-14 16:03:24,2002-01-30 12:14:59,2024-01-21 05:02:50
1031,Ozy Prayoga,super_admin,2011-06-17 10:58:36,2023-09-11 09:52:45,2024-05-26 04:46:09
